  ZR    Vel     logg logTeff  y1(CHEOPS)    
  ZR    Vel     logg logTeff  y2(CHEOPS)  
  0.00  0.000   3.50  3.966    0.5638
  0.00  0.000   3.50  3.966   -0.0034
  0.00  0.000   3.50  3.978    0.5409
  0.00  0.000   3.50  3.978   -0.0030
  0.00  0.000   3.50  3.989    0.5237
  0.00  0.000   3.50  3.989   -0.0030
  0.00  0.000   3.50  4.000    0.5105
  0.00  0.000   3.50  4.000   -0.0031
  0.00  0.000   3.50  4.011    0.4984
  0.00  0.000   3.50  4.011   -0.0033
  0.00  0.000   3.50  4.021    0.4889
  0.00  0.000   3.50  4.021   -0.0035
  0.00  0.000   3.50  4.031    0.4800
  0.00  0.000   3.50  4.031   -0.0038
  0.00  0.000   3.50  4.041    0.4725
  0.00  0.000   3.50  4.041   -0.0041
  0.00  0.000   3.50  4.051    0.4648
  0.00  0.000   3.50  4.051   -0.0043
  0.00  0.000   3.50  4.061    0.4579
  0.00  0.000   3.50  4.061   -0.0045
  0.00  0.000   3.50  4.070    0.4503
  0.00  0.000   3.50  4.070   -0.0046
  0.00  0.000   3.50  4.079    0.4441
  0.00  0.000   3.50  4.079   -0.0047
  0.00  0.000   3.50  4.088    0.4376
  0.00  0.000   3.50  4.088   -0.0048
  0.00  0.000   3.50  4.097    0.4319
  0.00  0.000   3.50  4.097   -0.0049
  0.00  0.000   3.50  4.106    0.4268
  0.00  0.000   3.50  4.106   -0.0050
  0.00  0.000   3.50  4.114    0.4155
  0.00  0.000   3.50  4.114   -0.0052
  0.00  0.000   3.50  4.146    0.4102
  0.00  0.000   3.50  4.146   -0.0062
  0.00  0.000   3.50  4.176    0.4046
  0.00  0.000   3.50  4.176   -0.0081
  0.00  0.000   3.50  4.204    0.4047
  0.00  0.000   3.50  4.204   -0.0107
  0.00  0.000   3.50  4.230    0.4038
  0.00  0.000   3.50  4.230   -0.0139
  0.00  0.000   3.50  4.255    0.4165
  0.00  0.000   3.50  4.255   -0.0183
  0.00  0.000   3.50  4.279    0.4317
  0.00  0.000   3.50  4.279   -0.0214
  0.00  0.000   3.50  4.301    0.4357
  0.00  0.000   3.50  4.301   -0.0254
  0.00  0.000   3.50  4.322    0.4455
  0.00  0.000   3.50  4.322   -0.0293
  0.00  0.000   3.50  4.342    0.4541
  0.00  0.000   3.50  4.342   -0.0328
  0.00  0.000   3.50  4.362    0.4606
