  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  4.00    7800.   0.0000   1.0008
  4.00    7800.   0.0000  -0.0177
  4.00    8000.   0.0000   0.8759
  4.00    8000.   0.0000  -0.0205
  4.00    8200.   0.0000   0.8371
  4.00    8200.   0.0000  -0.0177
  4.00    8400.   0.0000   0.7390
  4.00    8400.   0.0000  -0.0148
  4.00    8600.   0.0000   0.6778
  4.00    8600.   0.0000  -0.0125
  4.00    8800.   0.0000   0.6881
  4.00    8800.   0.0000  -0.0122
  4.00    9000.   0.0000   0.6543
  4.00    9000.   0.0000  -0.0125
  4.00    9200.   0.0000   0.6271
  4.00    9200.   0.0000  -0.0118
  4.00    9400.   0.0000   0.6121
  4.00    9400.   0.0000  -0.0115
  4.00    9600.   0.0000   0.5980
  4.00    9600.   0.0000  -0.0099
  4.00    9800.   0.0000   0.5862
  4.00    9800.   0.0000  -0.0115
  4.00   10000.   0.0000   0.5771
  4.00   10000.   0.0000  -0.0114
  4.00   10200.   0.0000   0.5664
  4.00   10200.   0.0000  -0.0113
  4.00   10400.   0.0000   0.5579
  4.00   10400.   0.0000  -0.0113
  4.00   10600.   0.0000   0.5502
  4.00   10600.   0.0000  -0.0113
  4.00   10800.   0.0000   0.5422
  4.00   10800.   0.0000  -0.0113
  4.00   11000.   0.0000   0.5336
  4.00   11000.   0.0000  -0.0114
  4.00   11200.   0.0000   0.5258
  4.00   11200.   0.0000  -0.0114
  4.00   11400.   0.0000   0.4648
  4.00   11400.   0.0000  -0.0084
  4.00   11600.   0.0000   0.4563
  4.00   11600.   0.0000  -0.0084
  4.00   11800.   0.0000   0.5023
  4.00   11800.   0.0000  -0.0113
  4.00   12000.   0.0000   0.4930
  4.00   12000.   0.0000  -0.0111
  4.50    2300.   0.0000   0.4105
  4.50    2300.   0.0000   0.1535
  4.50    2400.   0.0000   1.1591
  4.50    2400.   0.0000   0.1362
  4.50    2500.   0.0000   1.7579
